Date,Open,High,Low,Close
2021/12/14,175.25,177.740005,172.210007,174.330002
2021/12/15,175.110001,179.5,172.309998,179.300003
2021/12/16,179.279999,181.139999,170.75,172.259995
2021/12/17,169.929993,173.470001,169.690002,171.139999
2021/12/20,168.279999,170.580002,167.460007,169.75
2021/12/21,171.559998,173.199997,169.119995,172.990005
2021/12/22,173.039993,175.860001,172.149994,175.639999
2021/12/23,175.850006,176.850006,175.270004,176.279999
2021/12/27,177.089996,180.419998,177.070007,180.330002
2021/12/28,180.160004,181.330002,178.529999,179.289993
2021/12/29,179.330002,180.630005,178.139999,179.380005
2021/12/30,179.470001,180.570007,178.089996,178.199997
2021/12/31,178.089996,179.229996,177.259995,177.570007
2022/1/3,177.830002,182.880005,177.710007,182.009995
2022/1/4,182.630005,182.940002,179.119995,179.699997
2022/1/5,179.610001,180.169998,174.639999,174.919998
2022/1/6,172.699997,175.300003,171.639999,172
2022/1/7,172.889999,174.139999,171.029999,172.169998
2022/1/10,169.080002,172.5,168.169998,172.190002
2022/1/11,172.320007,175.179993,170.820007,175.080002
2022/1/12,176.119995,177.179993,174.820007,175.529999
2022/1/13,175.779999,176.619995,171.789993,172.190002
2022/1/14,171.339996,173.779999,171.089996,173.070007
2022/1/18,171.509995,172.539993,169.410004,169.800003
2022/1/19,170,171.080002,165.940002,166.229996
2022/1/20,166.979996,169.679993,164.179993,164.509995
2022/1/21,164.419998,166.330002,162.300003,162.410004
2022/1/24,160.020004,162.300003,154.699997,161.619995
2022/1/25,158.979996,162.759995,157.020004,159.779999
2022/1/26,163.5,164.389999,157.820007,159.690002
2022/1/27,162.449997,163.839996,158.279999,159.220001
2022/1/28,165.710007,170.350006,162.800003,170.330002
2022/1/31,170.160004,175,169.509995,174.779999
2022/2/1,174.009995,174.839996,172.309998,174.610001
2022/2/2,174.75,175.880005,173.330002,175.839996
2022/2/3,174.479996,176.240005,172.119995,172.899994
2022/2/4,171.679993,174.100006,170.679993,172.389999
